2015-08-31T14:29:57.907039 INFO   :		[50%-96%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+z^3+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.923084 INFO   :	[75%]Search for nu with (mu(z)=z^4+z^2+z,mu^{-1}(z)=z^4+z^3+1)
2015-08-31T14:29:57.970218 INFO   :		[75%-3%] Candidate (z^4+z^2+z,z^4+z^3+1,z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.025427 INFO   :		[75%-6%] Candidate (z^4+z^2+z,z^4+z^3+1,z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:29:58.111194 INFO   :		[75%-10%] Candidate (z^4+z^2+z,z^4+z^3+1,z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:58.160258 INFO   :		[75%-12%] Candidate (z^4+z^2+z,z^4+z^3+1,z^3) = 0.000156 (std 0.0012402)
2015-08-31T14:29:58.223996 INFO   :		[75%-17%] Candidate (z^4+z^2+z,z^4+z^3+1,z^3+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.286948 INFO   :		[75%-20%] Candidate (z^4+z^2+z,z^4+z^3+1,z^3+z^2+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.335198 INFO   :		[75%-21%] Candidate (z^4+z^2+z,z^4+z^3+1,z^3+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.399928 INFO   :		[75%-25%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.481885 INFO   :		[75%-29%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:58.580560 INFO   :		[75%-34%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:29:58.645136 INFO   :		[75%-39%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4+z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.691389 INFO   :		[75%-40%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4+z^3+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.750563 INFO   :		[75%-43%] Candidate (z^4+z^2+z,z^4+z^3+1,z^4+z^3+z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:58.933477 INFO   :		[75%-54%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:58.985460 INFO   :		[75%-57%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^2+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.032730 INFO   :		[75%-59%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.103860 INFO   :		[75%-64%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^3+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:59.150757 INFO   :		[75%-65%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^3+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.219807 INFO   :		[75%-68%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^3+z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:29:59.275655 INFO   :		[75%-73%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^3+z^2+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:59.428002 INFO   :		[75%-81%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^4+z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.505653 INFO   :		[75%-85%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^4+z^2+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:59.677665 INFO   :		[75%-95%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^4+z^3+z^2+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.725681 INFO   :		[75%-96%] Candidate (z^4+z^2+z,z^4+z^3+1,z^5+z^4+z^3+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.741458 INFO   :	[100%]Search for nu with (mu(z)=z^5+z^2+z,mu^{-1}(z)=z^5+z^3+1)
2015-08-31T14:29:59.789781 INFO   :		[100%-3%] Candidate (z^5+z^2+z,z^5+z^3+1,z) = 0.000156 (std 0.0012402)
