"(0.0012401959270617181, 0.00015625000000002442)","[[z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z^5 (mod z^7+1)], [z^6+z^3+1 (mod z^7+1), z^6+z^4+z^2+z+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.00088042403668800223, 7.812500000015099e-05)","[[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^5 (mod z^7+1)], [z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z^5 (mod z^7+1)]]"
"(0.00138382731124236, 0.00019531249999982236)","[[z^6+z^3+z^2 (mod z^7+1), z^6+z^5+z^4+z^3+z (mod z^7+1), z^3 (mod z^7+1)]]"
"(0.0010761701026528482, 0.00011718750000000444)","[[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^4 (mod z^7+1)], [z^6+z^3+z^2 (mod z^7+1), z^6+z^5+z^4+z^3+z (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.001240195927061281, 0.00015624999999996891)","[[z^5+z^4+z (mod z^7+1), z^6+z^4+z^3+z^2+z (mod z^7+1), z^3 (mod z^7+1)]]"
"(0.00088042403668628193, 7.8124999999998335e-05)","[[z^4+z+1 (mod z^7+1), z^6+z^5+z^3+z+1 (mod z^7+1), z^2 (mod z^7+1)]]"
"(0.0013838273112435429, 0.0001953124999999889)","[[z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.0010761701026528498, 0.00011718750000000444)","[[z^6+z+1 (mod z^7+1), z^6+z^4+z^3+z+1 (mod z^7+1), z^2 (mod z^7+1)]]"
"(0.0012401959270615002, 0.00015624999999999667)","[[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.00088042403668612157, 7.8124999999984457e-05)","[[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0010761701026528461, 0.00011718750000000444)","[[z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.0013838273112439352, 0.00019531250000004441)","[[z^6+z^3+z^2 (mod z^7+1), z^6+z^5+z^4+z^3+z (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0010761701026528493, 0.00011718750000000444)","[[z^4+z^2+1 (mod z^7+1), z^6+z^5+z^4+z^3+1 (mod z^7+1), z (mod z^7+1)]]"
"(0.00062377810244797184, 3.9062499999992228e-05)","[[z^4+z^3+z^2 (mod z^7+1), z^5+z^4+z^3+z+1 (mod z^7+1), z (mod z^7+1)]]"
"(0.0012401959270612799, 0.00015624999999996891)","[[z^5+z^4+z (mod z^7+1), z^6+z^4+z^3+z^2+z (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0013838273112435448, 0.0001953124999999889)","[[z^5+z^2+1 (mod z^7+1), z^6+z^5+z^2+z+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.0013838273112431465, 0.00019531249999993339)","[[z^6+z+1 (mod z^7+1), z^6+z^4+z^3+z+1 (mod z^7+1), z (mod z^7+1)]]"
"(0.0015128841196121474, 0.00023437499999998113)","[[z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]]"
"(0.0010761701026518254, 0.00011718749999989342)","[[z^5+z^2+1 (mod z^7+1), z^6+z^5+z^2+z+1 (mod z^7+1), z^3 (mod z^7+1)]]"
"(0.0012401959270615236, 0.00015624999999999971)","[[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^3 (mod z^7+1)]]"
"(0.00062377810244753056, 3.9062499999964473e-05)","[[z^6+z+1 (mod z^7+1), z^6+z^4+z^3+z+1 (mod z^7+1), z^6 (mod z^7+1)]]"
"(0.00062377810244753046, 3.9062499999964473e-05)","[[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0012401959270615269, 0.00015625000000000014)","[[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0010761701026527862, 0.0001171874999999975)","[[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z (mod z^7+1)]]"
"(0.0012401959270617199, 0.00015625000000002442)","[[z^6+z^3+1 (mod z^7+1), z^6+z^4+z^2+z+1 (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.00062377810244930573, 3.9062500000075495e-05)","[[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^2 (mod z^7+1)]]"
"(0.00088042403668612472, 7.8124999999984457e-05)","[[z^5+z^4+z (mod z^7+1), z^6+z^4+z^3+z^2+z (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.0013838273112436229, 0.00019531250000000007)","[[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z (mod z^7+1)]]"
"(0.001076170102652845, 0.00011718750000000444)","[[z^6+z+1 (mod z^7+1), z^6+z^4+z^3+z+1 (mod z^7+1), z^4 (mod z^7+1)]]"
"(0.00088042403668549848, 7.8124999999928946e-05)","[[z^4+z+1 (mod z^7+1), z^6+z^5+z^3+z+1 (mod z^7+1), z^2 (mod z^7+1)], [z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]]"
